invoice_memo,invoice_due_date,invoice_issue_date,invoice_line_items,invoice_customer_id,invoice_currency_code,invoice_customer_name,invoice_document_number,invoice_additional_fields_addresses,invoice_additional_fields_PO or Ref. #,invoice_additional_fields_Financial Terms,time
,9/25/2024,ate invoice,"[{'item': {'id': '810021404332', 'quantity': 1, 'item_name': 'IGK - Styling - Beach Club Blow Out Balm EU', 'unit_amount': 1336.32}, 'class_name': '', 'description': '', 'total_amount': 1336.32}, {'item': {'id': '810021403519', 'quantity': 1, 'item_name': 'IGK - VOLUME + THICKENING - BIG TIME Volume : 2,457.60 and Thickening Mousse 6.20z', 'unit_amount': 2457.6}, 'class_name': '', 'description': '', 'total_amount': 2457.6}, {'item': {'id': '810021403144', 'quantity': 1, 'item_name': 'IGK - Styling - CASH IN Instant Repair Serum 1.50z : 1,305.60', 'unit_amount': 1305.6}, 'class_name': '', 'description': '', 'total_amount': 1305.6}, {'item': {'id': '810021404295', 'quantity': 1, 'item_name': 'IGK - Detox - DIRECT FLIGHT Style Preserving . 819.20 Matcha Dry Shampoo 6.30z', 'unit_amount': 819.2}, 'class_name': '', 'description': '', 'total_amount': 819.2}, {'item': {'id': '810021404417', 'quantity': 1, 'item_name': 'IGK - Styling - GOOD BEHAVIOR Spirulina Protein : 2,611.20 Smoothing Blowout Balm 50z', 'unit_amount': 2611.2}, 'class_name': '', 'description': '', 'total_amount': 2611.2}, {'item': {'id': '810021403267', 'quantity': 1, 'item_name': 'IGK - COLOR CARE - LA BLONDE Purple Toning : 454.72 Treatment Spray 7oz', 'unit_amount': 454.72}, 'class_name': '', 'description': '', 'total_amount': 454.72}, {'item': {'id': 'G1PUTONSPA1', 'quantity': 1, 'item_name': 'IGK - Toner - LA BLONDE Purple Toning Treatment : 696.00 Spray - 7oz', 'unit_amount': 696}, 'class_name': '', 'description': '', 'total_amount': 696}]",Bill To,Currency,Mark Zuckerberg,Invoice #,"['3 Hacker Way, Menlo Park, CA 94025, USA (Bill To Address)', 'Shipping address not provided']",,,02:52
,9/25/2024,ate invoice,"[{'item': {'id': '810021404332', 'quantity': 1, 'item_name': 'IGK - Styling - Beach Club Blow Out Balm EU', 'unit_amount': 1336.32}, 'class_name': '', 'description': '', 'total_amount': 1336.32}, {'item': {'id': '810021403519', 'quantity': 1, 'item_name': 'IGK - VOLUME + THICKENING - BIG TIME Volume : 2,457.60 and Thickening Mousse 6.20z', 'unit_amount': 2457.6}, 'class_name': '', 'description': '', 'total_amount': 2457.6}, {'item': {'id': '810021403144', 'quantity': 1, 'item_name': 'IGK - Styling - CASH IN Instant Repair Serum 1.50z : 1,305.60', 'unit_amount': 1305.6}, 'class_name': '', 'description': '', 'total_amount': 1305.6}, {'item': {'id': '810021404295', 'quantity': 1, 'item_name': 'IGK - Detox - DIRECT FLIGHT Style Preserving . 819.20 Matcha Dry Shampoo 6.30z', 'unit_amount': 819.2}, 'class_name': '', 'description': '', 'total_amount': 819.2}, {'item': {'id': '810021404417', 'quantity': 1, 'item_name': 'IGK - Styling - GOOD BEHAVIOR Spirulina Protein : 2,611.20 Smoothing Blowout Balm 50z', 'unit_amount': 2611.2}, 'class_name': '', 'description': '', 'total_amount': 2611.2}, {'item': {'id': '810021403267', 'quantity': 1, 'item_name': 'IGK - COLOR CARE - LA BLONDE Purple Toning : 454.72 Treatment Spray 7oz', 'unit_amount': 454.72}, 'class_name': '', 'description': '', 'total_amount': 454.72}, {'item': {'id': 'G1PUTONSPA1', 'quantity': 1, 'item_name': 'IGK - Toner - LA BLONDE Purple Toning Treatment : 696.00 Spray - 7oz', 'unit_amount': 696}, 'class_name': '', 'description': '', 'total_amount': 696}]",Bill To,Currency,Mark Zuckerberg,Invoice #,"['1 Hacker Way, Menlo Park, CA 94025, USA (Bill To Address)', 'Ship To Address']",,,02:59
